id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
3438138,2016-06-11,research,52720,Dactylis glomerata,orchard grass,44.37682151,-72.12043472,"Caledonia County, US-VT, US",
3439084,2016-05-29,research,52720,Dactylis glomerata,orchard grass,42.0838861111,-87.8598861111,"Cook, Illinois, United States",
3442094,2016-06-12,research,52720,Dactylis glomerata,orchard grass,44.2563790502,-72.5553377812,"147 Spring Hollow Ln, Montpelier, VT, US",
3446226,2016-06-12,research,52720,Dactylis glomerata,orchard grass,43.5187269317,-79.6038544178,"Rattray Marsh, Mississauga, ON, Canada",
3446227,2016-06-12,research,52720,Dactylis glomerata,orchard grass,43.5187269317,-79.6038544178,"Rattray Marsh, Mississauga, ON, Canada",
3446405,2016-06-09,research,52720,Dactylis glomerata,orchard grass,39.220065,-83.422137,"Miller State Nature Preserve, Rainsboro, Ohio",
3453461,2016-06-12,research,52720,Dactylis glomerata,orchard grass,42.8258781,-78.6294067,"381 Hilltop Dr Elma, NY 14059",
3468107,2016-06-16,research,52720,Dactylis glomerata,orchard grass,42.3018365773,-83.7305890583,"1905 Traver Rd, Ann Arbor, MI, US",
3472226,2016-06-16,research,52720,Dactylis glomerata,orchard grass,39.146055,-120.22739,"Ward Blvd, Tahoe City, CA",
3475820,2016-06-16,research,52720,Dactylis glomerata,orchard grass,38.9350694444,-120.056275,"Lake Tahoe Basin Management Unit, El Dorado, California, United States",
3596312,2016-06-13,research,52720,Dactylis glomerata,orchard grass,45.4640233333,-122.6119833333,"Errol Heights Park, Southeast Portland, Portland, OR, USA",
3770134,2016-06-09,research,52720,Dactylis glomerata,orchard grass,39.6353683333,-77.4508433333,"Catoctin Mountain, Catoctin Mountain Park, Frederick, Maryland, United States",
3869161,2016-06-10,research,52720,Dactylis glomerata,orchard grass,42.3130207281,-85.3586196899,"Kalamazoo County, MI, USA",
3888058,2016-05-26,research,52720,Dactylis glomerata,orchard grass,35.7778805556,-83.1110083333,"Cocke, Tennessee, Appalachian National Scenic Trail, United States",
4510384,2016-05-29,research,52720,Dactylis glomerata,orchard grass,40.8863333333,-73.498815,"Cove Neck, NY 11771, USA",
5129171,2016-06-15,research,52720,Dactylis glomerata,orchard grass,40.6246207493,-74.575753212,"Liberty Corner, Bernards, NJ 07920, USA",
5239553,2016-06-13,research,52720,Dactylis glomerata,orchard grass,40.5949244214,-74.5714187622,"Martinsville, Bridgewater, NJ, USA",
6217848,2016-05-19,research,52720,Dactylis glomerata,orchard grass,37.9521611111,-122.5735944444,"Marin County, CA, USA",
13736364,2016-05-30,research,52720,Dactylis glomerata,orchard grass,38.507303,-90.680116,"4901 Six Flags Rd, Eureka, MO 63025, USA",
13736365,2016-05-30,research,52720,Dactylis glomerata,orchard grass,38.507303,-90.680116,"4901 Six Flags Rd, Eureka, MO 63025, USA",
13736370,2016-06-15,research,52720,Dactylis glomerata,orchard grass,40.082715008,-88.243327602,"Champaign County, IL, USA",
15328640,2016-05-28,research,52720,Dactylis glomerata,orchard grass,38.79214475,-77.0464401111,"Old Town, Alexandria, VA, USA",
32603634,2016-05-29,research,52720,Dactylis glomerata,orchard grass,36.3476078368,-81.4145268772,"North Carolina, US",Flowering
32766045,2016-06-01,research,52720,Dactylis glomerata,orchard grass,40.5747880806,-105.1960308517,"Larimer County, CO, USA",
34856501,2016-05-29,research,52720,Dactylis glomerata,orchard grass,41.9427337847,-78.8773511872,"McKean County, PA, USA",
40299729,2016-05-26,research,52720,Dactylis glomerata,orchard grass,33.4542257,-82.2265592,"Harlem Grovetown Rd, Grovetown, GA, USA",
67701967,2016-06-01,research,52720,Dactylis glomerata,orchard grass,40.352939,-74.93717,"Lambertville, NJ, US",
256941845,2016-05-27,research,52720,Dactylis glomerata,orchard grass,43.3625,-89.2075,"Hampden, WI, USA",
271493585,2016-06-13,research,52720,Dactylis glomerata,orchard grass,39.4865166667,-77.8131033333,"Jefferson County, WV, USA",
3476800,2016-06-18,research,52720,Dactylis glomerata,orchard grass,40.7915877365,-73.9169766941,"Harriet Ave, New York, NY, US",
3482926,2016-06-19,research,52720,Dactylis glomerata,orchard grass,43.6228633333,-72.50802,"05091, Woodstock, VT, US",Flowering
3489288,2016-06-17,research,52720,Dactylis glomerata,orchard grass,45.585041,-64.977661,"Albert, CA-NB, CA",
3499226,2016-06-21,research,52720,Dactylis glomerata,orchard grass,44.3111238582,-72.421572581,"2328–2816 Hollister Hill Rd, Marshfield, VT, US",
3505878,2016-06-20,research,52720,Dactylis glomerata,orchard grass,47.748364,-65.077492,Bertrand,
3509647,2016-06-23,research,52720,Dactylis glomerata,orchard grass,44.0061125206,-73.0596276094,"Addison County, US-VT, US",
3539472,2016-06-24,research,52720,Dactylis glomerata,orchard grass,37.633784,-118.969187,"Mammoth Creek Park, Mammoth Lakes, CA, US",
3539905,2016-06-28,research,52720,Dactylis glomerata,orchard grass,42.259695,-83.06994,Ojibway Prairie Windsor,
