	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
111954	Achillea millefolium	6359362	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	32.50398724	mm2 mg-1
111955	Achillea millefolium	6359363	42	Plant growth form	Plant growth form	perennial forb	
111964	Achillea millefolium	6359363	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	27.38396624	mm2 mg-1
111965	Achillea millefolium	6359364	42	Plant growth form	Plant growth form	perennial forb	
111975	Achillea millefolium	6359365	42	Plant growth form	Plant growth form	perennial forb	
111984	Achillea millefolium	6359365	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	28.62258953	mm2 mg-1
111985	Achillea millefolium	6359366	42	Plant growth form	Plant growth form	perennial forb	
111994	Achillea millefolium	6359366	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	31.75115207	mm2 mg-1
111995	Achillea millefolium	6359367	42	Plant growth form	Plant growth form	perennial forb	
112002	Achillea millefolium	6359367	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	5.57	mg
112004	Achillea millefolium	6359367	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	27.3070018	mm2 mg-1
112005	Achillea millefolium	6359368	42	Plant growth form	Plant growth form	perennial forb	
112015	Achillea millefolium	6359369	42	Plant growth form	Plant growth form	perennial forb	
112022	Achillea millefolium	6359369	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	8.25	mg
112024	Achillea millefolium	6359369	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	19.23636364	mm2 mg-1
112025	Achillea millefolium	6359370	42	Plant growth form	Plant growth form	perennial forb	
112032	Achillea millefolium	6359370	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	18.18	mg
112035	Achillea millefolium	6359371	42	Plant growth form	Plant growth form	perennial forb	
112042	Achillea millefolium	6359371	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	8.57	mg
112044	Achillea millefolium	6359371	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	25.49591599	mm2 mg-1
112045	Achillea millefolium	6359372	42	Plant growth form	Plant growth form	perennial forb	
112052	Achillea millefolium	6359372	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	11.25	mg
112054	Achillea millefolium	6359372	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	34.62222222	mm2 mg-1
112055	Achillea millefolium	6359373	42	Plant growth form	Plant growth form	perennial forb	
112064	Achillea millefolium	6359373	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	28.50909091	mm2 mg-1
112065	Achillea millefolium	6359374	42	Plant growth form	Plant growth form	perennial forb	
112072	Achillea millefolium	6359374	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.31	mg
112075	Achillea millefolium	6359375	42	Plant growth form	Plant growth form	perennial forb	
112082	Achillea millefolium	6359375	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	7.5	mg
112084	Achillea millefolium	6359375	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	16.93333333	mm2 mg-1
112085	Achillea millefolium	6359376	42	Plant growth form	Plant growth form	perennial forb	
112095	Achillea millefolium	6359377	42	Plant growth form	Plant growth form	perennial forb	
112105	Achillea millefolium	6359378	42	Plant growth form	Plant growth form	perennial forb	
112112	Achillea millefolium	6359378	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.42	mg
112114	Achillea millefolium	6359378	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	34.84423676	mm2 mg-1
112115	Achillea millefolium	6359379	42	Plant growth form	Plant growth form	perennial forb	
112124	Achillea millefolium	6359379	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	34.27118644	mm2 mg-1
112125	Achillea millefolium	6359380	42	Plant growth form	Plant growth form	perennial forb	
112132	Achillea millefolium	6359380	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	8.54	mg
112134	Achillea millefolium	6359380	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	27.55269321	mm2 mg-1
112135	Achillea millefolium	6359381	42	Plant growth form	Plant growth form	perennial forb	
112142	Achillea millefolium	6359381	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.55	mg
112145	Achillea millefolium	6359382	42	Plant growth form	Plant growth form	perennial forb	
112155	Achillea millefolium	6359383	42	Plant growth form	Plant growth form	perennial forb	
112162	Achillea millefolium	6359383	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.24	mg
112165	Achillea millefolium	6359384	42	Plant growth form	Plant growth form	perennial forb	
112174	Achillea millefolium	6359384	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	37.77408638	mm2 mg-1
112175	Achillea millefolium	6359385	42	Plant growth form	Plant growth form	perennial forb	
112184	Achillea millefolium	6359385	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	35.28619529	mm2 mg-1
112185	Achillea millefolium	6359386	42	Plant growth form	Plant growth form	perennial forb	
112192	Achillea millefolium	6359386	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.6	mg
112194	Achillea millefolium	6359386	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	29.36363636	mm2 mg-1
112195	Achillea millefolium	6359387	42	Plant growth form	Plant growth form	perennial forb	
112205	Achillea millefolium	6359388	42	Plant growth form	Plant growth form	perennial forb	
112212	Achillea millefolium	6359388	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	8.2	mg
112214	Achillea millefolium	6359388	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	26.48780488	mm2 mg-1
112215	Achillea millefolium	6359389	42	Plant growth form	Plant growth form	perennial forb	
112222	Achillea millefolium	6359389	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	7.0	mg
112225	Achillea millefolium	6359390	42	Plant growth form	Plant growth form	perennial forb	
112234	Achillea millefolium	6359390	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	26.90196078	mm2 mg-1
112235	Achillea millefolium	6359391	42	Plant growth form	Plant growth form	perennial forb	
112244	Achillea millefolium	6359391	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	21.56756757	mm2 mg-1
112245	Achillea millefolium	6359392	42	Plant growth form	Plant growth form	perennial forb	
112252	Achillea millefolium	6359392	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	9.2	mg
112254	Achillea millefolium	6359392	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	25.13043478	mm2 mg-1
112255	Achillea millefolium	6359393	42	Plant growth form	Plant growth form	perennial forb	
112264	Achillea millefolium	6359393	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	19.75	mm2 mg-1
112265	Achillea millefolium	6359394	42	Plant growth form	Plant growth form	perennial forb	
112275	Achillea millefolium	6359395	42	Plant growth form	Plant growth form	perennial forb	
112284	Achillea millefolium	6359395	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	37.09375	mm2 mg-1
112285	Achillea millefolium	6359396	42	Plant growth form	Plant growth form	perennial forb	
