	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
18383	Dactylis glomerata	2284334	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18385	Dactylis glomerata	2284334	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18394	Dactylis glomerata	2284335	159	Seedbank type	Seedbank type	transient	
18402	Dactylis glomerata	2284335	1111	Seedbank density	Seedbank density	0.0	1/m2
18398	Dactylis glomerata	2284335	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18399	Dactylis glomerata	2284335	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18401	Dactylis glomerata	2284335	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18410	Dactylis glomerata	2284336	159	Seedbank type	Seedbank type	transient	
18418	Dactylis glomerata	2284336	1111	Seedbank density	Seedbank density	0.0	1/m2
18414	Dactylis glomerata	2284336	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18415	Dactylis glomerata	2284336	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18417	Dactylis glomerata	2284336	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18426	Dactylis glomerata	2284337	159	Seedbank type	Seedbank type	transient	
18434	Dactylis glomerata	2284337	1111	Seedbank density	Seedbank density	0.0	1/m2
18430	Dactylis glomerata	2284337	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18431	Dactylis glomerata	2284337	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18433	Dactylis glomerata	2284337	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18442	Dactylis glomerata	2284338	159	Seedbank type	Seedbank type	transient	
