trait1,trait2,n_both,acc_both,acc_trait1_only,acc_trait2_only,synergy_score,interaction_type
stamens_6,erect_or_decumbent,65,0.03076923076923077,0.14174333385311086,0.0,-0.04010243615732466,Neutral
stamens_6,sometimes_creeping,31,0.03225806451612903,0.14115092290988057,0.0,-0.038317396938811255,Neutral
with_flowers_in_whorled_clusters,getting_narrower_at_the_base,1039,0.4629451395572666,0.39033217009176685,0.46005917159763315,0.037749468712566625,Neutral
stamens_6,becoming_alternate_distally,5218,0.15293215791490994,0.08968253968253968,0.14679742568188783,0.03469217523269619,Neutral
base_attenuate,petals_pale_purple_or_whitish,241,0.03734439834024896,0.14328490628812243,0.0,-0.034298054803812254,Neutral
rounded_at_the_base,calyx_with_alternate_long_and_small_teeth,6683,0.3911417028280712,0.3789447731755424,0.33663366336633666,0.033352484557131634,Neutral
alternate_distally,calyx_with_alternate_long_and_small_teeth,6683,0.3911417028280712,0.3793188548864758,0.33663366336633666,0.033165443701664965,Neutral
floral_tube_obconic_without_red_dots,erect_or_decumbent,65,0.03076923076923077,0.0,0.0,0.03076923076923077,Neutral
petals_pale_purple_to_purple_sometimes_with_red_midribs,erect_or_decumbent,65,0.03076923076923077,0.0,0.0,0.03076923076923077,Neutral
base_attenuate,prostrate_to_weakly_erect,266,0.041353383458646614,0.14346085409252668,0.0,-0.030377043587616726,Neutral
sessile_or_subsessile,erect_or_decumbent,109,0.01834862385321101,0.09523809523809523,0.0,-0.029270423765836606,Neutral
inflorescence_raceme,linear,1098,0.04644808743169399,0.11451287528183221,0.033823529411764704,-0.02772011491510446,Neutral
erect,floral_tube_cylindrical,11946,0.29474301021262345,0.2395967395967396,0.2945478723404255,0.02767070424404089,Neutral
floral_tube_obconic_without_red_dots,leaves_mostly_alternate,73,0.0273972602739726,0.0,0.0,0.0273972602739726,Neutral
petals_pale_purple_to_purple_sometimes_with_red_midribs,leaves_mostly_alternate,73,0.0273972602739726,0.0,0.0,0.0273972602739726,Neutral
inflorescence_raceme,leaves_mostly_alternate,73,0.0273972602739726,0.10727888277613204,0.0,-0.02624218111409342,Neutral
inflorescence_raceme,distally_alternate,1098,0.04644808743169399,0.11451287528183221,0.029947916666666668,-0.025782308542555442,Neutral
stamens_6,base_attenuate,5529,0.14613854223186834,0.10853530031612224,0.13220702601233575,0.025767379067639345,Neutral
leaves_opposite_but_sometimes_alternate,sometimes_creeping,58,0.017241379310344827,0.08333333333333333,0.0,-0.024425287356321837,Neutral
obovate,sometimes_creeping,58,0.017241379310344827,0.08333333333333333,0.0,-0.024425287356321837,Neutral
inflorescence_raceme,stamens_5_8,1227,0.044009779951100246,0.11593154977102917,0.02040816326530612,-0.024160076567067403,Neutral
creeping,purple,21,0.047619047619047616,0.0,0.14285714285714285,-0.023809523809523808,Neutral
petals_white_to_pink,stamens_5_8,1323,0.02040816326530612,,0.044009779951100246,-0.023601616685794125,Neutral
inflorescence_raceme,sessile_or_subsessile,76,0.039473684210526314,0.10720711186368928,0.018518518518518517,-0.023389130980577585,Neutral
inflorescence_raceme,erect_or_decumbent,65,0.03076923076923077,0.10718816067653276,0.0,-0.02282484956903561,Neutral
distally_alternate,stamens_5_8,1098,0.04644808743169399,0.029947916666666668,0.02066115702479339,0.021143550585963962,Neutral
floral_tube_campanulate,petals_white_to_pink,1323,0.02040816326530612,0.0,,0.02040816326530612,Neutral
petals_pinkish_to_white,distally_alternate,47,0.0,0.0,0.04068169323804288,-0.02034084661902144,Neutral
stamens_5_8,linear,1098,0.04644808743169399,0.02066115702479339,0.033823529411764704,0.019205744213414946,Neutral
leaves_mostly_alternate,erect_or_decumbent,109,0.01834862385321101,0.0,0.0,0.01834862385321101,Neutral
leaves_opposite,base_attenuate,9136,0.1421847635726795,0.30343751874737535,0.01639344262295082,-0.017730717112483585,Neutral
sessile_base_narrowly_attenuate,prostrate_and_spreading,1701,0.0188124632569077,0.01818181818181818,0.05405405405405406,-0.01730547286102842,Neutral
leaves_alternate,sprawling_or_ascending,2388,0.02680067001675042,0.01907356948228883,0.0,0.017263885275606003,Neutral
subsessile,sprawling_or_ascending,2388,0.02680067001675042,0.0196078431372549,0.0,0.01699674844812297,Neutral
base_obtuse_to_truncate,sprawling_or_ascending,2388,0.02680067001675042,0.020134228187919462,0.0,0.016733555922790688,Neutral
stamens_6,leaves_opposite_but_sometimes_alternate,37,0.05405405405405406,0.14112715416860735,0.0,-0.01650952303024962,Neutral
stamens_6,obovate,37,0.05405405405405406,0.14112715416860735,0.0,-0.01650952303024962,Neutral
stamens_2_3,needle_like_leaves,71,0.0,0.0,0.03278688524590164,-0.01639344262295082,Neutral
one_or_few_flowers_in_the_axil_of_leaves,needle_like_leaves,71,0.0,0.0,0.03278688524590164,-0.01639344262295082,Neutral
sessile,floral_tube_cylindrical,13178,0.29602367582334194,0.27476263040675186,0.2849099099099099,0.016187405665011034,Neutral
leaves_alternate,creeping,35,0.02857142857142857,0.025735294117647058,0.0,0.015703781512605042,Neutral
creeping,flowers_solitary,21,0.047619047619047616,0.0,0.06666666666666667,0.014285714285714284,Neutral
prostrate,petals_pinkish,81,0.037037037037037035,0.015748031496062992,0.03125,0.013538021289005539,Neutral
prostrate,often_with_a_darker_midrib,81,0.037037037037037035,0.015748031496062992,0.03125,0.013538021289005539,Neutral
prostrate,one_or_few_flowers_in_the_axil_of_leaves,65,0.0,0.025925925925925925,0.0,-0.012962962962962963,Neutral
prostrate,stamens_2_3,65,0.0,0.025925925925925925,0.0,-0.012962962962962963,Neutral
leaves_alternate,flowers_solitary,24,0.041666666666666664,0.025631636763090444,0.08333333333333333,-0.012815818381545226,Neutral
prostrate,needle_like_leaves,180,0.022222222222222223,0.01935483870967742,0.0,0.012544802867383513,Neutral
leaves_alternate,base_obtuse_to_truncate,2686,0.026061057334326135,0.014492753623188406,,0.011568303711137729,Neutral
alternate_distally,with_flowers_in_whorled_clusters,6683,0.3911417028280712,0.3793188548864758,0.4237935977066412,-0.010414523468487313,Neutral
rounded_at_the_base,with_flowers_in_whorled_clusters,6683,0.3911417028280712,0.3789447731755424,0.4237935977066412,-0.010227482613020589,Neutral
sessile_or_subsessile,petals_pale_purple_to_purple_sometimes_with_red_midribs,73,0.0273972602739726,0.03508771929824561,0.0,0.009853400624849795,Neutral
sessile_or_subsessile,floral_tube_obconic_without_red_dots,73,0.0273972602739726,0.03508771929824561,0.0,0.009853400624849795,Neutral
subsessile,leaves_alternate,2686,0.026061057334326135,0.018633540372670808,0.014492753623188406,0.009497910336396527,Neutral
getting_narrower_at_the_base,petals_rose_to_purple,1039,0.4629451395572666,0.46005917159763315,0.4473684210526316,0.00923134323213426,Neutral
getting_narrower_at_the_base,inflorescence_spikelike_to_raceme,1039,0.4629451395572666,0.46005917159763315,0.4473684210526316,0.00923134323213426,Neutral
getting_narrower_at_the_base,stamens_10_14,1039,0.4629451395572666,0.46005917159763315,0.4473684210526316,0.00923134323213426,Neutral
base_attenuate,becoming_alternate_distally,8473,0.1504779889059365,0.033121019108280254,0.25,0.008917479351796376,Neutral
floral_tube_campanulate,prostrate_and_spreading,1022,0.022504892367906065,0.013245033112582781,0.015363128491620111,0.008200811565804619,Neutral
petals_white_to_pink,prostrate_and_spreading,1022,0.022504892367906065,0.013289036544850499,0.015363128491620111,0.00817880984967076,Neutral
subsessile,base_obtuse_to_truncate,2686,0.026061057334326135,0.018633540372670808,,0.007427516961655327,Neutral
sessile_base_narrowly_attenuate,stamens_5_8,1144,0.02097902097902098,0.015444015444015444,0.04054054054054054,-0.007013257013257012,Neutral
sometimes_creeping,petals_reddish,31,0.03225806451612903,0.0,0.07692307692307693,-0.006203473945409432,Neutral
sometimes_creeping,petals_minute,31,0.03225806451612903,0.0,0.07692307692307693,-0.006203473945409432,Neutral
subsessile,often_with_a_darker_midrib,93,0.03225806451612903,0.025417574437182282,0.05,-0.0054507227024621074,Neutral
subsessile,petals_pinkish,93,0.03225806451612903,0.025417574437182282,0.05,-0.0054507227024621074,Neutral
sessile_base_narrowly_attenuate,floral_tube_campanulate,1144,0.02097902097902098,0.015444015444015444,0.016666666666666666,0.0049236799236799245,Neutral
sessile_base_narrowly_attenuate,petals_white_to_pink,1144,0.02097902097902098,0.015444015444015444,0.01675977653631285,0.004877124988856833,Neutral
stamens_5_8,prostrate_and_spreading,1022,0.022504892367906065,0.03795811518324607,0.015363128491620111,-0.004155729469527025,Neutral
base_obtuse_to_truncate,floral_tube_obconic,1669,0.02756141402037148,0.02359882005899705,0.03980099502487562,-0.004138493521564854,Neutral
petals_purple,stamens_6,5914,0.1516739939127494,0.2865305357811915,0.024822695035460994,-0.004002621495576814,Neutral
leaves_alternate,floral_tube_obconic,1669,0.02756141402037148,0.02302025782688766,0.03980099502487562,-0.003849212405510158,Neutral
subsessile,floral_tube_obconic,1669,0.02756141402037148,0.022920203735144314,0.03980099502487562,-0.003799185359638489,Neutral
solitary_in_leaf_axils,sprawling_or_ascending,1503,0.028609447771124417,0.027700831024930747,0.022850924918389554,0.003333569799464267,Neutral
red_dotted,sprawling_or_ascending,1503,0.028609447771124417,0.027700831024930747,0.022850924918389554,0.003333569799464267,Neutral
flower_tube_narrowly_cylindrical_without_red_dots,prostrate_to_weakly_erect,164,0.03048780487804878,0.0,0.056074766355140186,0.0024504217004786867,Neutral
calyx_with_teeth_of_the_same_length,prostrate_to_weakly_erect,164,0.03048780487804878,0.0,0.056074766355140186,0.0024504217004786867,Neutral
petals_lavender,prostrate_to_weakly_erect,164,0.03048780487804878,0.0,0.056074766355140186,0.0024504217004786867,Neutral
stamens_4_6,prostrate_to_weakly_erect,164,0.03048780487804878,0.0,0.056074766355140186,0.0024504217004786867,Neutral
subsessile,prostrate,143,0.02097902097902098,0.025887573964497042,0.020833333333333332,-0.002381432669894209,Neutral
floral_tube_obconic,sprawling_or_ascending,1503,0.028609447771124417,0.02997275204359673,0.022850924918389554,0.0021976092901312763,Neutral
base_obtuse_to_truncate,red_dotted,1669,0.02756141402037148,0.02359882005899705,0.035897435897435895,-0.0021867139578449907,Neutral
base_obtuse_to_truncate,solitary_in_leaf_axils,1669,0.02756141402037148,0.02359882005899705,0.035897435897435895,-0.0021867139578449907,Neutral
leaves_alternate,red_dotted,1669,0.02756141402037148,0.02302025782688766,0.035897435897435895,-0.0018974328417902947,Neutral
leaves_alternate,solitary_in_leaf_axils,1669,0.02756141402037148,0.02302025782688766,0.035897435897435895,-0.0018974328417902947,Neutral
subsessile,solitary_in_leaf_axils,1669,0.02756141402037148,0.022920203735144314,0.035897435897435895,-0.0018474057959186226,Neutral
subsessile,red_dotted,1669,0.02756141402037148,0.022920203735144314,0.035897435897435895,-0.0018474057959186226,Neutral
floral_tube_campanulate,stamens_5_8,1323,0.02040816326530612,0.0,0.044009779951100246,-0.0015967267102440022,Neutral
base_rounded,creeping_to_weakly_erect,219,0.0,0.0,0.0,0.0,Neutral
creeping_to_weakly_erect,petals_pale_purple_to_purple,127,0.0,0.0,0.0,0.0,Neutral
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,floral_tube_narrowly_obconic_without_red_dots,139,0.0,0.0,0.0,0.0,Neutral
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,creeping_to_weakly_erect,219,0.0,0.0,0.0,0.0,Neutral
base_rounded,petals_pale_purple_to_purple,139,0.0,0.0,0.0,0.0,Neutral
base_rounded,floral_tube_narrowly_obconic_without_red_dots,139,0.0,0.0,0.0,0.0,Neutral
petiolated,petals_pale_purple_to_purple,139,0.0,0.0,0.0,0.0,Neutral
base_rounded,a_discernible_gap_between_the_stem_and_the_base_of_the_blade,245,0.0,0.0,,0.0,Neutral
petiolated,floral_tube_narrowly_obconic_without_red_dots,139,0.0,0.0,0.0,0.0,Neutral
petiolated,creeping_to_weakly_erect,219,0.0,0.0,0.0,0.0,Neutral
petiolated,base_rounded,245,0.0,,0.0,0.0,Neutral
petals_pinkish_to_white,rounded_base,47,0.0,0.0,0.0,0.0,Neutral
creeping_to_weakly_erect,floral_tube_narrowly_obconic_without_red_dots,127,0.0,0.0,0.0,0.0,Neutral
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,petals_pale_purple_to_purple,139,0.0,0.0,0.0,0.0,Neutral
