trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
petals lavender,0.2712434756666824,0.06018653431245191,,1.0,0.7604851593831172,0.9695290858725761,0.9093425515601242,0.9845288326300984,0.8282788825757575,361
petals lilac to pink,0.15812453303086882,-0.05248548845821921,,1.0,0.7613772941367549,0.8571428571428571,0.9096283456010763,0.923076923076923,0.8289264284619647,7
petals minute,0.30113055528210875,0.09045714063774424,,1.0,0.7612144064490963,1.0,0.9095428593622558,1.0,0.8287943940117853,69
petals pale purple or whitish,0.26523727176545153,0.05406876169292385,,1.0,0.7603001957798564,0.9633867276887872,0.9093179659958633,0.9813519813519813,0.8281589687997962,437
petals pale purple to purple,0.30157129206922173,0.09068372962309212,,1.0,0.7607140142672559,1.0,0.9093162703769079,1.0,0.8284036961932519,262
petals pale purple to purple sometimes with red midribs,0.28115612861126826,0.0703778180530572,,1.0,0.7610150192484954,0.9798657718120806,0.9094879537590234,0.9898305084745762,0.828653410164368,149
petals pink,0.25694525863412554,0.046196141557612536,,1.0,0.761113459724887,0.9557522123893806,0.909556070831768,0.9773755656108597,0.828740041310121,113
petals pink to purple,0.3010074708772036,0.09039394527459732,,1.0,0.7613540380741992,1.0,0.9096060547254027,1.0,0.8289033901002707,15
petals pink to purple with a darker midrib,0.3010006358048988,0.09039043701001315,,1.0,0.7613617905987071,1.0,0.9096095629899869,1.0,0.8289094413694319,12
petals pinkish,0.2901281980321112,0.07932308658671805,,1.0,0.7609372457558171,0.9887640449438202,0.9094409583571021,0.9943502824858756,0.8285877968544209,178
petals pinkish to white,0.3011533597376731,0.09046885318071762,,1.0,0.7611885308077415,1.0,0.9095311468192824,1.0,0.828774194309581,79
petals purple,-0.03372258059768318,-0.027567328748670628,-0.009317588398043919,0.7434126232521865,0.7657304125789545,0.8874185396994281,0.9149858684480987,0.8090575646427597,0.8337308497095448,26708
petals reddish,0.30113055528210875,0.09045714063774424,,1.0,0.7612144064490963,1.0,0.9095428593622558,1.0,0.8287943940117853,69
petals rose to purple,-0.24450235108118984,,0.05840798665554475,0.0,0.7691205582229611,,0.9096235933255724,,0.8334923522753537,2025
petals white,0.3010211419531138,0.09040096262081276,,1.0,0.7613385315139701,1.0,0.9095990373791872,1.0,0.8288912862777003,21
petals white to pink,0.2821041225442349,0.06880538816022685,,1.0,0.7557899869240486,0.9764976958525345,0.9076923076923077,0.9881091163441362,0.8248056015769551,2170
petiolated,0.302169370464648,0.09099196478570593,,1.0,0.7600339728652628,1.0,0.9090080352142941,1.0,0.8278724981467754,523
prostrate,0.2821259710942081,0.07057564152820917,,1.0,0.7594026005218512,0.9794871794871794,0.9089115379589703,0.9896373056994818,0.8274578146282274,780
prostrate and spreading,0.29003129077486567,0.07501804221879194,,1.0,0.7518885874154216,0.9811425402107599,0.9061244979919679,0.990481522956327,0.8218326801085358,3606
prostrate to weakly erect,0.26619094689083667,0.0548317014217824,,1.0,0.7599294102268024,0.964041095890411,0.9092093944686286,0.9816913687881429,0.8278939498231705,584
purple,0.2626151143747074,0.05194981052497427,,1.0,0.7612635547226224,0.9615384615384616,0.9095886510134873,0.9803921568627451,0.8288425360767593,52
red-dotted,0.278745224689645,0.06449422058310028,,1.0,0.75397702535249,0.9717277486910995,0.9072335281079992,0.9856611789697292,0.823535867139774,2865
rounded at the base,-0.37379298287504653,-0.8571217712177122,-0.012864779576151342,0.0004193311667889716,0.8490376952983507,0.05333333333333334,0.9104551045510455,0.0008321198252548367,0.8786744722192719,24225
rounded base,0.2957537541884694,0.08495402890244474,,1.0,0.760934652434262,0.9943820224719101,0.9094279935694654,0.9971830985915493,0.8285808783576272,178
sessile,-0.14493771189186544,-0.06410259441643118,0.0029541606070419557,0.6350999967898302,0.8256657408920111,0.8644963950185711,0.9285989894350023,0.7322525723591681,0.8741125091883946,51059
