id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
6542287,2017-06-06,research,52720,Dactylis glomerata,orchard grass,43.518971,-89.406837,"Columbia County, WI, USA",Flowering
6578707,2017-06-03,research,52720,Dactylis glomerata,orchard grass,39.9846061366,-75.4874673207,"19073, Willistown, PA, US",Flowering
6578836,2017-06-03,research,52720,Dactylis glomerata,orchard grass,39.9845195096,-75.485577453,"19073, Willistown, PA, US",Flowering
6606745,2017-06-12,research,52720,Dactylis glomerata,orchard grass,38.77107169,-104.85281223,"700 Cheyenne Mountain Highway Colorado Springs, CO 80906",Fruiting
6610135,2017-06-12,research,52720,Dactylis glomerata,orchard grass,42.4727777778,-76.79455,"Schuyler, New York, United States",Flowering
6617095,2017-06-12,research,52720,Dactylis glomerata,orchard grass,44.4121733333,-72.4484683333,"Washington, Vermont, United States",Flowering
6620724,2017-06-10,research,52720,Dactylis glomerata,orchard grass,39.99147924,-105.21689076,"Boulder County, US-CO, US",Flowering
6661485,2017-06-14,research,52720,Dactylis glomerata,orchard grass,43.6946333333,-80.2486033333,"Guelph/Eramosa, Guelph/Eramosa, ON, CA",Flowering
6702717,2017-06-17,research,52720,Dactylis glomerata,orchard grass,42.6579360962,-80.4711303711,"Weston Family Trail Walsingham, ON N0E 1X0",Flowering
6739639,2017-06-18,research,52720,Dactylis glomerata,orchard grass,38.78042,-77.0555721667,"1203 Belle Haven Rd, Alexandria, VA, US",Flowering
6784685,2017-06-19,research,52720,Dactylis glomerata,orchard grass,46.3588416667,-89.67347,"Ottawa National Forest, Marenisco, MI, US",Fruiting
6880485,2017-06-29,research,52720,Dactylis glomerata,orchard grass,36.2792861111,-115.6715083333,"Mt Charleston, NV 89124, USA",Flowering
7247383,2017-05-21,research,52720,Dactylis glomerata,orchard grass,42.2031388889,-88.1318666667,"Lake, Illinois, United States",Flower Budding
9015328,2017-05-24,research,52720,Dactylis glomerata,orchard grass,41.725102,-81.233693,"Grand River Conservation Area, Painesville, Ohio",Flower Budding
9133602,2017-05-07,research,52720,Dactylis glomerata,orchard grass,36.87642,-121.62804,"Aromas, San Benito Co., CA",Flowering
9133859,2017-05-06,research,52720,Dactylis glomerata,orchard grass,36.875884,-121.6281,"Aromas, San Benito Co., CA",Flowering
9144593,2017-05-11,research,52720,Dactylis glomerata,orchard grass,36.87626,-121.62836,"Aromas, San Benito Co., CA",Flowering
